Product Name,Brand Name,Reviews
Phoenix Cloud,Enterprise,Thank you for the very good support !,
Phoenix Cloud,Enterprise,"It was a pleasure and a relief. In addition to assisting me with my issues, I am also able to learn more about the product. Tech has a great understanding.",
Phoenix Cloud,Enterprise,Excellent product and excellent support!,
Endpoints,EP,Abdulkadir Lokhandwala was a pleasure to work with and an excellent resource. I give him the highest of recommendations.,
inSync Cloud,EP,"The interface could be a little clearer, but the support experience was excellent and quick. Atul understood my question immediately and put me on the exact right path I was looking for. Thanks again!",
Phoenix Cloud,Enterprise,Mr. Kislay did a great job in not only monitoring progress of the ticket and issue but also offered a solution that would achieve exactly what we were looking for.,
Phoenix Cloud,Enterprise,Giri responded well and resolved the issue quickly,
inSync Cloud,EP,Sometimes it seems the technician is really just focused on closing the case and not really helping solve the problem I have.,
inSync Cloud,EP,Gr8,
Phoenix Cloud,Enterprise,"Great feedback: 1. very short time to get issue ticket created 2. very short time for response 3. once contacted my issue was resolved quickly, in this case it my lack of knowledge",
inSync Cloud,EP,I've been working with Druva for years and the support team has always supported very quickly and takes the time to listen and explain. I'm very satisficed with Druva as a product and their services!,
inSync Cloud,EP,Excelent product and support team,
inSync Cloud,EP,"Rohit, the person who helped me was super competent and very friendly. He fully answered all of my questions, and figured out some difficult details for my particular problem. I am super impressed by Rohit's capability, and you should be proud to have him on your staff. He made my experience with Druva support a painless and happy experience. You don't usually get that in a support related encounter. Thanks Rohit!",
inSync Cloud,EP,Keep up the good work!,
inSync Cloud,EP,"On this particular day, trying access support was very difficult. There were certainly major issues with the Druva phone system. Druva support tried to contact me and the line would drop or I could not hear the Druva tech. Even trying to open a new ticket was very frustrating due to unstable Druva phone system.",
inSync Cloud,EP,Excellent Support,
inSync Cloud,EP,"Druva Insync is great, has saved multiple of my users from losing their information. Great product easy to use, great support",
Endpoints,EP,Our USMT backups and restores were down almost the entire week due to a python upgrade that you guys made in the backend. The support engineers were great but your processes for support are terrible. An outage like this should have been prioritized and I shouldn't have had to wait for someone to start their shift to have my ticket worked on. The next person arriving for their shift should have taken the ticket to continue working. We literally had to pause our entire project for days because of this issue. The USMT backup process has been a nightmare every time we need to update the config files. It would be great if we can be contacted by corporate because there was a lot of time wasted by myself working with support to try and get the issue resolved and my company which was not able to continue our project.,
inSync On-Premise,EP,"You're doing an excellent job Team, Keep rocking, All the best",
Phoenix Cloud,Enterprise,"Great support from Harish, even on a Saturday! Thank you for your quick call back and resolution. First in class tech support!!",
inSync Cloud,EP,"Today, I worked with Mahesh Kadu from Druva support to assist us setting up the integration between Azure AD and Insync on-cloud. Mahesh have responded to the open case in a timely manner, called us on time as we agreed, and was able to fix setup mistakes/issues. During the session, Mahesh have demonstrated excellent knowledge and skill to understand and solve the issue. As usual, we are very happy and satisfied with the support level we've been getting from Druva team over the years. Many thanks",
Phoenix Cloud,Enterprise,Working with Druva Tech Support is always a pleasure. Technicians are always very knowledgeable and professional. THANKS!,
Phoenix Cloud,Enterprise,Nice solution but it's hard to move from full application aware (veeam) to just backup when I have exchange mailboxes and AD to restore on occasion.,
inSync Cloud,EP,Umesh Choudhary helped me on my call and he was fantastic!,
Phoenix Cloud,Enterprise,"Druva Tech Support is the best. I have never had any complaints. However, as much as I want to help and fill out these questionnaires, all the responses will always be the same: 5 stars and will DEFINITELY recommend Druva to peers, acquaintances, etc. With that said, can they be sent out randomly instead of sending these feedback messages with every closed ticket? I'm obsessive-compulsive enough to keep filling them out and not just delete them, but it would be nice to save a few minutes here and there when my response will always be: YOU'RE THE BEST ;-). If there's anything wrong, I will not hesitate to provide feedback.",
Phoenix Cloud,Enterprise,Excellent support,
Phoenix Cloud,Enterprise,very knowledgable and friendly!,
Phoenix Cloud,Enterprise,Excellent product with superb support!,
inSync Cloud,EP,great,
Phoenix Cloud,Enterprise,"Great tech - he was patient, informative, and solved the issue quickly.",
Phoenix Cloud,Enterprise,Great and speedy support work. Well done.,
Phoenix Cloud,Enterprise,I'm satisfied with the quick response from Support team.,
inSync Cloud,EP,Thanks Druva team for extended support.,
inSync Cloud,EP,"Druva does it again! Time after time, your support team does not disappoint. Yash was very professional, kind, knowledgeable, and patient. Thank you as always!",
inSync Cloud,EP,"Minha's patience is admirable. I appreciate him explaining Druva's side of SSO multiple times. Sorry about that, Minha! :-)",
Phoenix Cloud,Enterprise,Giri was very helpful in assisting me with several time-sensitive issues quickly.,
inSync Cloud,EP,Excellent support as always. Thank you.,
inSync Cloud,EP,The tech I spoke with was great and understanding!,
inSync Cloud,EP,Support engineer was very helpful and went the extra distance to provide care and ensure service.,
inSync Cloud,EP,"Special thanks to Rohit, he was able to resolve my issue quickly and was friendly. I definitely appreciate when I get a support representative like him!",
Native Workloads (CloudRanger),Enterprise,Thumbs up. :-),
Phoenix Cloud,Enterprise,Sandeep was very knowledgeable and,
Phoenix Cloud,Enterprise,Exceptional support and quick to resolvement. Great teamwork!!,
inSync Cloud,EP,Great Job,
SaaS Apps,SaaS,Keep up the great work!,
inSync Cloud,EP,Extraordinary support given by Amar. Appreciated your effort on all cases raised by us.,
sfApex - OrgTools,SaaS,Thank you for the fantastic and quick response!,
Phoenix Cloud,Enterprise,"Support was very friendly and helpful. I needed a little coaching and they definitely went beyond that for me. I'm very satisfied, great job!",
Phoenix Cloud,Enterprise,"The error code that was displayed took you to a page that said, almost the same thing as the error message but said open a ticket with support for the solution. which I did, their response was to reboot the proxy, and if that did not work report back. If that is the standard response to this error why not put that in your documentation. reboot the proxy and restart the DR restore if it fails again contact support. Would save a lot of time.",
inSync Cloud,EP,Fantastic Support by Umesh Choudhary.. Keep it Up..,
inSync Cloud,EP,good,
Phoenix Cloud,Enterprise,Great tool & good support !,
inSync On-Premise,EP,"Good Job Team, ALL the Best",
Phoenix Cloud,Enterprise,Thank you for the good support,
inSync Cloud,EP,Excellent knowledge!,
inSync Cloud,EP,"Very helpful, and quick response. Thank you",
Native Workloads (CloudRanger),Enterprise,You guys are the best! Thanks so much for your continued support and excellence!,
Phoenix Cloud,Enterprise,N/A,
inSync Cloud,EP,Better MSP options and try to get with Ingram Micro as a distributor.,
Phoenix Cloud,Enterprise,"Sandeep, is very knowledgeable and excellent to work with. Thanks for a great support experience.",
Phoenix Cloud,Enterprise,"Sandeep, is very knowledgeable and excellent to work with. Thanks for a great support experience.",
Phoenix Cloud,Enterprise,"Sandeep, is very knowledgeable and excellent to work with. Thanks for a great support experience.",
Phoenix Cloud,Enterprise,Tulika Shrivastava provided excellent assistance. Communication was very clear and explained all the steps we took prior to executing them. I greatly appreciate her help! Thank you!,
inSync Cloud,EP,Great and Fast Support!,
Phoenix Cloud,Enterprise,"Demo was OK, again I felt that being told there was application awareness and then only after installing discovering it was only for sql and not exchange or AD when I was explicit we were a full on premise environment was a bit dissapointing.",
Phoenix Cloud,Enterprise,Support was quick to reply to me and help me with my problem.,
inSync On-Premise,EP,Good JOb,
inSync Cloud,EP,As a new customer I am extremely pleased with Druva's support thus far. Excellent in all areas.,
Phoenix Cloud,Enterprise,"Your support engineer Giri Pillarigunta was very helpful. He was able to help resolve our issues quickly despite the confusion on our end, as some of the information he needed we had to look up.",
Phoenix Cloud,Enterprise,"Helpful, quick response.",
SaaS Apps,SaaS,"Great Support from Druva Support Team, My cloud lab issues for MIcrosoft O365 backup are fixed in first/single connect just in few mins.. We successfully completed sample backup of All Supported Office 365 modules ""Exchange Online, Sharepoint,OneDrive,Team"" Its pleasure working with Druva Support Team!!! Special Thanks to Piyush Lal and Amarjitsingh Flora for quick follow-up! Thank You! Thanks, Raghavendra Kulkarni Senior Principal Engineer Dell EMC | Ent Tech Services - Solution Recovery Team raghavendra.kulkarni@Dell.com Working Hours: Monday ‒ Friday | 12:00 PM ‒ 9:00 PM (IST) Mobile +91-99004-22479",
inSync Cloud,EP,Do better.,
inSync Cloud,EP,"The response to support cases has been excellent. My feedback relates to the Druva inSync portal. I think the interface could use updating. For example, under the users section, the Name column has room for very short names only. Also, it would be nice if we could sort by column in the Reporting section without having to download the file.",
Phoenix Cloud,Enterprise,Great follow up to resolution. I know I don't have to worry about any Druva issues because if you guys don't know how to fix it you will find out promptly. :-),
inSync Cloud,EP,Very helpful with the quick and detailed response!,
SaaS Apps,SaaS,great,
inSync Cloud,EP,Tech was straightforward and that's what I like it.,
Phoenix Cloud,Enterprise,I stayed on the phone for almost 2 hours waiting,
Phoenix Cloud,Enterprise,More English speaking,
inSync Cloud,EP,Good,
inSync Cloud,EP,Shardul was very thorough in his answers to my inquiry. As a result I was able to make the changes to our configuration.,
inSync Cloud,EP,Thanks Amruta for quick Support.,
inSync Cloud,EP,Very prompt support...Extremely happy with the experience.,
Phoenix Cloud,Enterprise,"Amazing, as usual!! :-)",
